id,歌名,歌手,语种,主打歌,SC
121,"脳裏上のクラッカー","ずっと真夜中でいいのに ","日语",0,1
122,"残機","ずっと真夜中でいいのに ","日语",0,1
123,"秒針を噛む","ずっと真夜中でいいのに ","日语",0,0
124,"サターン","ずっと真夜中でいいのに ","日语",1,0
125,"優しくLAST SMILE","ずっと真夜中でいいのに ","日语",0,0
126,"あの娘シークレット","Eve","日语",0,0
127,"シャルル","須田景凪","日语",0,0
128,"君の知らない物語","supercell","日语",0,0
129,"マリンブルーの庭園","ずっと真夜中でいいのに ","日语",1,0
130,"Ham","ずっと真夜中でいいのに ","日语",0,0
131,"お勉強しといてよ ","ずっと真夜中でいいのに ","日语",0,0
132,"グラスとラムレーズン","ずっと真夜中でいいのに ","日语",0,0
133,"MILABO","ずっと真夜中でいいのに ","日语",1,0
134,"眩しいDNAだけ","ずっと真夜中でいいのに ","日语",0,1
135,"花降らし","拿不拿","日语",0,0
136,"ラブレター","YOASOBI","日语",0,0
137,"あの夢をなぞって","YOASOBI","日语",0,1
138,"たぶん","YOASOBI","日语",0,0
139,"ハルジオン","YOASOBI","日语",0,0
140,"アンコール","YOASOBI","日语",0,0
141,"ハルカ","YOASOBI","日语",0,0
142,"優しい彗星","YOASOBI","日语",0,0
143,"カタオモイ","Aimer","日语",0,0
144,"[A]ddiction","EVO+","日语",0,0
145,"ONE","Aimer","日语",0,0
146,"藍悼花","酔シグレ","日语",0,1
147,"FREELYTOMORROW","术力口","日语",1,0
148,"僕らの記憶を掠わないで","术力口","日语",0,1
149,"アディオス","DAZBEE","日语",0,0
150,"愛じゃない","DAZBEE","日语",0,0
151,"雑踏、僕らの街","トゲナシトゲアリ","日语",0,1
152,"空の箱","トゲナシトゲアリ","日语",0,0
153,"あなたは煙草　私はシャボン","今泉爱夏","日语",0,0
154,"嘘じゃない","ずっと真夜中でいいのに ","日语",0,0
155,"Blues in the closet","ずっと真夜中でいいのに ","日语",0,0
156,"春日影","MyGO","日语",0,0
157,"トウキョウ・シャンディ・ランデヴ","花譜/ツミキ","日语",0,0
158,"ビビデバ","星街すいせい","日语",0,0
159,"天ノ弱","术力口","日语",0,0
160,"花鳥風月","seikai no owari","日语",1,0
161,"Biri-Biri","YOASOBI","日语",0,0
162,"水星","今泉爱夏","日语",1,0
163,"10月無口な君を忘れる","可惜夜","日语",1,0
164,"あの夏が飽和する","术力口","日语",0,1
165,"死別","术力口","日语",0,0
166,"青く青く光る","ACAね/ぬゆり","日语",0,0
167,"メルト","术力口","日语",1,0
168,"ドラマツルギー","eve","日语",0,0
169,"Nighthawks","米津玄师","日语",1,0
170,"カワキヲアメク","美波","日语",0,1
171,"ハレハレヤ","术力口","日语",0,1
172,"乙女解剖","术力口","日语",0,0
173,"阿吽のビーツ","术力口","日语",0,0
174,"ドーナツホール","米津玄师","日语",0,0
175,"again","yui","日语",0,1
176,"白日","King Gnu","日语",0,1
177,"Pain, Pain Go Away","ベリーグッドマン","日语",0,0
178,"inside you","milet","日语",0,0
179,"狂おしいほど僕には美しい","majiko","日语",0,0
180,"ダダダダ天使","七音阿卡莉","日语",0,0
181,"ヘールシャム","mol-74","日语",0,0
182,"覚醒","Superfly","日语",0,0
183,"藍二乗","夜鹿","日语",0,0
184,"言って。","夜鹿","日语",0,0
185,"おとなの掟","椎名林檎","日语",1,0
186,"春を告げる","yama","日语",0,0
187,"偏食","术力口","日语",0,0
188,"うっせぇわ","Ado","日语",1,0
189,"ハゼ馳せる果てるまで","ずっと真夜中でいいのに ","日语",0,1
190,"またね幻","ずっと真夜中でいいのに ","日语",1,1
191,"ヒューマノイド","ずっと真夜中でいいのに ","日语",0,0
192,"勘ぐれい","ずっと真夜中でいいのに ","日语",0,0
193,"居眠り遠征队","ずっと真夜中でいいのに ","日语",0,0
194,"風を食む","夜鹿","日语",0,0
195,"ガランド","术力口","日语",0,0
196,"ノーダウト","胡子男","日语",0,0
197,"まつり","藤井风","日语",1,0
198,"削いで","术力口","日语",0,0
199,"君がいて水になる","ずっと真夜中でいいのに ","日语",0,1
200,"デビルじゃないもん","术力口","日语",0,0
201,"Loveit?","LOLUET","日语",0,0
202,"アタシは問題作","Ado","日语",0,0
203,"不法侵入","ずっと真夜中でいいのに ","日语",0,0
204,"上辺の私自身なんだよ","ずっと真夜中でいいのに ","日语",0,0
205,"プロポーズ","术力口","日语",0,0
206,"唱","Ado","日语",0,0
207,"フィクサー","术力口","日语",0,0
208,"INTERNET YAMERO"," 超天酱","日语",1,1
209,"Sincerely","TRUE","日语",0,1
210,"みちしるべ","茅原実里","日语",0,1
211,"HYDRA","MYTH & ROID","日语",0,0
212,"なんでもないや","野田洋次郎","日语",0,0
213,"廻廻奇譚","Eve","日语",0,0
214,"Prayer X","King Gnu","日语",0,0
215,"衝撃","安藤裕子（进击的巨人）","日语",0,0
216,"裏切り者のレクイエム","jojo/黄金之风","日语",0,0
217,"CHAINSAW BLOOD","vaundy","日语",0,0
218,"KICK BACK","米津玄师","日语",0,0
219,"シンデレラ","サイダーガール（古见同学）","日语",0,0
220,"あのバンド","孤独摇滚","日语",1,0
221,"ちゅ、多様性。","ano","日语",0,0
222,"忘れてやらない","孤独摇滚","日语",0,0
223,"青のすみか","キタニタツヤ","日语",0,0
224,"Ｗ●ＲＫ","常田大希/椎名林檎","日语",1,0
225,"fish in the pool","（花与爱丽丝杀人事件）","日语",0,0
226,"すずめ feat.十明","十明/RADWIMPS","日语",1,0
227,"1/6（演唱会版）","术力口","日语",0,0
228,"二息歩行","术力口","日语",0,0
229,"オレンジ","术力口","日语",0,1
230,"太陽系デスコ","术力口","日语",0,1
231,"マインドブランド","术力口","日语",0,1
232,"こっち向いてBaby","术力口","日语",0,0
233,"ヒバナ","术力口","日语",0,0
234,"い～やい～やい～や","术力口","日语",0,0
235,"転校前夜","术力口","日语",0,0
236,"アンノウン・マザーグース","术力口","日语",0,1
237,"アンドロイドガール","术力口","日语",0,1
238,"愛言葉III","术力口","日语",1,0
239,"ネガティブ進化論","术力口","日语",0,0
240,"ビターチョコデコレーション","术力口","日语",1,0
241,"Gimme×Gimme","术力口","日语",0,0
242,"ポジティブ・パレード","术力口","日语",0,1
243,"脱法ロック","术力口","日语",0,0
244,"ラプンツェル","术力口","日语",0,0
245,"Icebreaker","术力口","日语",0,0
246,"flos","术力口","日语",0,0
247,"GETCHA","术力口","日语",0,1
248,"ReadySteady","术力口","日语",0,1
249,"CYNICALNIGHTPLAN","术力口","日语",0,1
250,"shake it","术力口","日语",0,1
251,"幽霊東京","术力口","日语",0,1
252,"小夜子","术力口","日语",0,0
253,"グッバイ宣言","术力口","日语",0,0
254,"ラヴィット","术力口","日语",0,0
255,"ホワイトハッピー","术力口","日语",0,0
256,"神っぽいな","术力口","日语",0,0
257,"ルーマー","术力口","日语",0,0
258,"ダーリンダンス","术力口","日语",0,0
259,"偽物人間40号","术力口","日语",0,0
260,"第三の心臓","术力口","日语",0,0
261,"ドリームレス・ドリームス","术力口","日语",0,0
262,"少女レイ","术力口","日语",0,1
263,"小説、夏と罰(上)","术力口","日语",1,1
264,"匿名M","术力口","日语",0,1
265,"熱異常(feat.足立レイ)","术力口","日语",0,1
266,"人マニア","术力口","日语",0,0
267,"そして白に還る","ヰ世界情緒","日语",0,0
268,"more than words","羊文学","日语",0,1
269,"茎","椎名林檎","日语",0,0
270,"水上灯","郁千","国语",0,1
271,"木兰行","忘川风华录","国语",0,0
272,"破晓将至","忘川风华录","国语",0,0
273,"易水诀","忘川风华录","国语",0,0
274,"说散就散","袁娅维","国语",0,0
275,"跳楼机","LBI利比","国语",0,0
276,"睫毛弯弯","王心凌","国语",1,0
277,"彩虹的微笑","王心凌","国语",0,0
278,"爱你","王心凌","国语",0,0
279,"大眠","王心凌","国语",0,0
280,"舍得","王唯旖","国语",0,0
281,"鱼","陈绮贞","国语",0,0
282,"你吻了我这件小事","孟慧圆","国语",0,0
283,"爱人错过","告五人","国语",0,0
284,"给你一瓶魔法药水","告五人","国语",0,0
285,"带我去找夜生活","告五人","国语",0,0
286,"go,bye!","王ok","国语",0,0
287,"霜雪千年","洛天依","国语",0,0
288,"狐言","河图/洛天依","国语",1,0
289,"三月雨","洛天依","国语",0,1
290,"百变酒精","法老","国语",0,0
291,"你要的全拿走","胡彦斌","国语",0,0
292,"月光","胡彦斌","国语",0,0
293,"万神纪","海鲜面/星尘","国语",0,1
294,"小城夏天","LBI利比","国语",0,0
295,"凄美地","郭顶","国语",0,0
296,"人是_","周深","国语",0,1
297,"老张","草东没有派对","国语",0,0
298,"烂泥","草东没有派对","国语",0,0
299,"但","草东没有派对","国语",0,0
300,"鬼","草东没有派对","国语",1,0
301,"勇敢的人","草东没有派对","国语",0,0
302,"情歌","草东没有派对","国语",0,0
